countryCode,dataPlan,days,price,description
JP,2gb,7,12600,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,1gb,7,9400,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,500mb,7,5700,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,무제한,8,23900,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,5gb,8,21700,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,4gb,8,19100,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,3gb,8,16400,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,2gb,8,13800,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,1gb,8,10300,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,500mb,8,6200,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,무제한,9,26000,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,5gb,9,23600,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,4gb,9,20700,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,3gb,9,17900,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,2gb,9,15000,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,1gb,9,11200,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,500mb,9,6800,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,무제한,10,28100,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,5gb,10,25600,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,4gb,10,22400,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,3gb,10,19300,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,2gb,10,16100,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,1gb,10,12000,"Google maps 데이터 무료, Chat GPT 데이터 무료"
JP,500mb,10,7200,"Google maps 데이터 무료, Chat GPT 데이터 무료"
